happychild,Santa Clara,Capistrano Ave & Lago Vista Circle,37.319134,-121.98591,"Wednesdays, 3:00 PM  to 8:00 PM"
happychild,Santa Cruz Farmers Market,,36.976166,-122.02634,"Wednesdays, 2:30 PM  to 6:30 PM"
happychild,Sunnyvale,Somerset Dr & Pimento Ave,37.356354,-122.04705,"Wednesdays, 3:00 PM  to 8:00 PM"
happychild,Trilogy - Brentwood,Trilogy Parkway,0,0,"Thursdays, 1:00 PM  to 8:00 PM"
happychild,Twitter - PRIVATE,Market St and 10th St,37.776775,-122.416794,"Tuesdays, to 7:00 PM"
happychild,Walnut Creek - Lotties Creamery,N Main St,37.89946,-122.06084,"Tuesdays, 5:00 PM  to 10:00 PM"
shootingstar,Albany: Madison St off Solano & San Pablo,Madison St at Solano Ave,37.88956,-122.3006,"Tuesdays, 4:00 PM  to 9:00 PM"
shootingstar,Benicia: Rose Dr. at Oxford Way,Rose Dr. at Oxford Way,38.09008,-122.17605,"Tuesdays, 4:00 PM  to 9:00 PM"
shootingstar,Berkeley: California St.,California St. at Channing Way,37.865578,-122.27923,"Tuesdays, 4:00 PM  to 8:00 PM"
shootingstar,Berkeley: Curtis St.,Curtis St. at Cedar St.,0,0,"Tuesdays, 4:00 PM  to 9:00 PM"
shootingstar,"Berkeley: King St, near Ashby BART",King St at Ashby,37.852287,-122.27409,"Tuesdays, 4:00 PM  to 7:00 PM"
shootingstar,Berkeley: Washington School,McKinley Ave at Bancroft Way,0,0,"Tuesdays, 3:00 PM  to 6:00 PM"
shootingstar,Concord: Port Chicago Hwy & N 6th St.,N 6th St. at Reva Dr.,37.98882,-122.02906,"Tuesdays, 4:00 PM  to 7:00 PM"
shootingstar,"Fairfield: Farm Pickup, Gordon Valley Rd, Suisun Valley",Gordon Valley Rd at Mankas Corner Rd,38.294903,-122.10651,"Fridays, 3:00 PM  to 9:00 PM"
shootingstar,Fairfield: Green Valley,Green Valley Rd at Rockville Rd,38.25281,-122.1673,"Fridays, 4:00 PM  to 9:00 PM"
shootingstar,Fairfield: Kolob Dr,Kolob Dr at Oliver Rd,38.26489,-122.0707,"Fridays, 4:00 PM  to 9:00 PM"
shootingstar,"Lafayette, Mt Diablo Blvd. (Temple Isaiah)",945 Risa Rd.,37.888954,-122.135086,"Tuesdays, 4:00 PM  to 7:00 PM"
shootingstar,Oakland: Glenview Neighborhood,Elston Ave at E 38th St.,37.803944,-122.22118,"Tuesdays, 4:00 PM  to 9:00 PM"
shootingstar,Oakland: Grand Ave (Oakland Acupuncture Project on Grand),Grand Ave at Weldon Ave,37.81666,-122.24536,"Tuesdays, 4:00 PM  to 7:00 PM"
shootingstar,Oakland: Laurel Ave at MacArthur Blvd (Oakland Acupuncture Project),Laurel Ave at MacArthur Blvd,37.795963,-122.203514,"Tuesdays, 4:00 PM  to 7:00 PM"
shootingstar,Oakland: Lincoln (near Mormon Temple),Charleston St at Coolidge Ave,37.80592,-122.202126,"Tuesdays, 4:00 PM  to 8:00 PM"
shootingstar,Oakland: Temescal/Rockridge,Howell St off Claremont Ave.,37.844803,-122.257706,"Tuesdays, 4:00 PM  to 9:00 PM"
shootingstar,San Francisco: Glen Park/Noe,Chenery St at Fairmount St,37.739117,-122.42601,"Tuesdays, 4:00 PM  to 9:00 PM"
shootingstar,San Francisco: Mission (near Bryant and 23rd),York St at 23rd,37.753704,-122.40799,"Tuesdays, 4:00 PM  to 9:00 PM"
shootingstar,San Francisco: Noe & Market,15th St at Market,37.765896,-122.432365,"Tuesdays, 4:00 PM  to 9:00 PM"
shootingstar,Suisun CIty: near Walters Rd & Pintail Dr,Heron Dr. at Pintail Dr.,38.251053,-121.99762,"Fridays, 4:00 PM  to 9:00 PM"
shootingstar,Tesoro Martinez (EMPLOYEES ONLY),,37.999756,-122.104485,"Tuesdays, 2:00 PM  to 5:00 PM"
shootingstar,Vacaville: City Hall,650 Merchant St,38.351067,-121.993706,"Tuesdays, 2:00 PM  to 5:00 PM"
shootingstar,Vacaville: near Marshall Rd & Peabody Rd,Folsom Dr at Trinity Dr,38.34687,-121.967766,"Fridays, 3:00 PM  to 9:00 PM"
shootingstar,Vallejo: Camino Alto at Tuolumne St.,Camino Alto at Tuolumne St,38.11735,-122.23883,"Tuesdays, 4:00 PM  to 7:00 PM"
shootingstar,"Walnut Creek, Geary Rd at North Main",Geary Rd at North Main,37.930492,-122.06619,"Tuesdays, 4:00 PM  to 9:00 PM"
shootingstar,Walnut Creek: Ygnacio Valley Rd & San Carlos Dr,Santa Fe Dr at Los Cerros Ave,37.915154,-122.03581,"Tuesdays, 4:00 PM  to 9:00 PM"
marinsun,Alameda,,37.771217,-122.2824,"Thursdays,"
marinsun,Belmont,"3 minutes from HWY 92 & 280, Adjacent to Ralston Middle School",37.51073,-122.3135,"Thursdays, 1:00 PM  to 7:00 PM"
marinsun,Berkeley - Downtown/Ashby Ave,Elmwood,37.85672,-122.25779,"Thursdays, 9:00 AM  to 9:00 PM"
marinsun,Berkeley - North Berkeley,University and Sacramento,37.870884,-122.28065,"Thursdays, 9:00 AM  to 9:00 PM"
marinsun,Concord - Concord/Martinez,,37.94612,-122.02123,"Thursdays,"
marinsun,Livermore,near N. Vasco Rd,37.758343,-121.73589,"Thursdays, 3:00 PM  to 7:00 PM"
marinsun,Los Gatos,near Highway 17,37.22934,-121.954636,"Thursdays,"
marinsun,Menlo Park,Near Willow Oaks Park,37.459904,-122.154,"Thursdays,"
marinsun,Mill Valley,Near Boyle Park,37.904617,-122.53905,"Thursdays,"
marinsun,Mountain View,near Rengstorff and Middlefield,37.410847,-122.0991,"Thursdays,"
marinsun,Oakland - Claremont,Rockridge BART,37.843693,-122.251884,"Thursdays,"
marinsun,Oakland - Glenview,Dimond Canyon,37.808735,-122.212425,"Thursdays,"
